Question,File
"Hvordan opperer dagen@ifi?","ifidagen_info.md"
"Har dere mailing-liste?","mailing_liste.md"
"Hvordan velger dere bedrifter til å delta på arrangementene?","valg_bedrifter.md"
"Når publiserer dere dato for arrangementene?","datoer.md"
"Hva er hovedsamarbeidspartner og hvordan kan min bedrift bli hovedsamarbeidspartner?","hsp.md"
"Hva koster det å delta på arrangementene?","pris.md"
"Kan dere publisere stillingsannonser og informasjon om min bedrift?","annonser.md"
"Teit testspørsmål uten svar","lol.md"
